dataset_iri,dataset_id,title,provider,description,spatial,modified,page,periodicity,start,end,keywords_all
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Jihlava_a_jeho_obce,ps2017CZ0632,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Jihlava a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3707,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Jihlava"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Jindrichuv_Hradec_a_jeho_obce,ps2017CZ0313,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Jindřichův Hradec a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3303,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Jindřichův Hradec"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Jicin_a_jeho_obce,ps2017CZ0522,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Jičín a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3604,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Jičín"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Karlovy_Vary_a_jeho_obce,ps2017CZ0412,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Karlovy Vary a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3403,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Karlovy Vary"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Karvina_a_jeho_obce,ps2017CZ0803,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Karviná a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3803,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Karviná"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Kladno_a_jeho_obce,ps2017CZ0203,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Kladno a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3203,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Kladno"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Klatovy_a_jeho_obce,ps2017CZ0322,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Klatovy a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3404,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Klatovy"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Kolin_a_jeho_obce,ps2017CZ0204,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Kolín a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3204,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Kolín"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Kromeriz_a_jeho_obce,ps2017CZ0721,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Kroměříž a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3708,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Kroměříž"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Kutna_Hora_a_jeho_obce,ps2017CZ0205,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Kutná Hora a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3205,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Kutná Hora"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Liberec_a_jeho_obce,ps2017CZ0513,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Liberec a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3505,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Liberec"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Litomerice_a_jeho_obce,ps2017CZ0423,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Litoměřice a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3506,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Litoměřice"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Louny_a_jeho_obce,ps2017CZ0424,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Louny a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3507,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Louny"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Mlada_Boleslav_a_jeho_obce,ps2017CZ0207,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Mladá Boleslav a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3207,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Mladá Boleslav"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Most_a_jeho_obce,ps2017CZ0425,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Most a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3508,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Most"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Melnik_a_jeho_obce,ps2017CZ0206,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Mělník a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3206,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Mělník"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Novy_Jicin_a_jeho_obce,ps2017CZ0804,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Nový Jičín a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3804,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Nový Jičín"
